annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
gemini_mono,43341,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
gemini_mono,27447,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_mono,31223,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_mono,43580,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,48916,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
gemini_mono,1793,0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,4.0,2
gemini_mono,19409,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_mono,22123,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
gemini_mono,47074,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,4519,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2
gemini_mono,45734,1,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2
gemini_mono,17591,4,3.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,0
gemini_mono,42348,4,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,2
gemini_mono,18591,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,13108,4,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0
gemini_mono,28142,4,3.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,0
gemini_mono,48308,0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,2
gemini_mono,30112,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2
gemini_mono,27958,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,40444,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gemini_mono,28360,4,3.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0
gemini_mono,46966,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,35364,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,37954,4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,5761,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,19725,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,364,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gemini_mono,12086,4,4.0,4.0,3.0,3.0,2.0,0.0,0.0,4.0,2
gemini_mono,6365,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,17868,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,48954,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gemini_mono,39293,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0
gemini_mono,49699,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_mono,30394,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
gemini_mono,18941,0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0
gemini_mono,49707,3,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2
gemini_mono,36618,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,38486,4,,,,,,,,,0
gemini_mono,38926,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,7473,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_mono,25763,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
gemini_mono,40133,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_mono,17461,4,4.0,4.0,4.0,4.0,0.0,3.0,0.0,4.0,2
gemini_mono,20571,4,3.0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,2
gemini_mono,45219,4,3.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,0
