,index,annotator,severity,rater_type
0,0,10000,-1.8818395101350833,Human
1,1,10006,-0.559677438629202,Human
2,2,10038,2.9080571560398427,Human
3,3,10168,3.338017293081804,Human
4,4,10171,2.8148343443009445,Human
5,5,10173,-0.3472706187380974,Human
6,6,10195,-0.9086092305316344,Human
7,7,10218,-2.319049775817446,Human
8,8,10263,2.740547235830194,Human
9,9,10275,2.6069414013857006,Human
10,10,10277,3.172171379450769,Human
11,11,10299,1.1044950321900464,Human
12,12,10309,-1.956983722327065,Human
13,13,10327,-1.442991187647997,Human
14,14,10337,2.0764526107630594,Human
15,15,10349,1.0161992027061457,Human
16,16,10352,-1.6148496208105596,Human
17,17,10354,-0.5269885155360164,Human
18,18,1036,-1.5779750283206697,Human
19,19,10367,-2.104806260398946,Human
20,20,10415,1.7480629298716177,Human
21,21,10416,-0.5972218787271572,Human
22,22,10419,-0.5045064171201119,Human
23,23,10452,-1.7083159173997609,Human
24,24,1046,-2.2854204246320893,Human
25,25,1047,-2.1220128219298173,Human
26,26,10482,0.5450439140849168,Human
27,27,10498,-1.9880278775225844,Human
28,28,10511,2.4583466503026914,Human
29,29,10514,1.4698486338417023,Human
30,30,10519,-2.117613033115683,Human
31,31,10545,-0.15751463122876697,Human
32,32,10548,1.166094822248111,Human
33,33,10623,3.3870772040413444,Human
34,34,10626,-0.7201319022367522,Human
35,35,10648,-1.7535816466176541,Human
36,36,10651,-0.12471946576248527,Human
37,37,10694,-1.2374047183753332,Human
38,38,10695,1.547206346026054,Human
39,39,10743,3.145218203576035,Human
40,40,10749,-2.1272444673084747,Human
41,41,10753,-0.2019525585999027,Human
42,42,10759,-2.235693724945014,Human
43,43,1078,1.599987956076838,Human
44,44,10807,3.0020054427701917,Human
45,45,1084,-1.2265018756591215,Human
46,46,10844,2.6843217866141558,Human
47,47,10871,2.75492286647226,Human
48,48,10878,-2.0648746873506374,Human
49,49,10882,0.20423403415812902,Human
50,50,10890,0.08768379937452608,Human
51,51,10901,-0.3447879318214305,Human
52,52,10936,-2.25284809076489,Human
53,53,10961,0.3067404221688457,Human
54,54,10965,0.2378029424921091,Human
55,55,1097,1.644788567940753,Human
56,56,10989,-0.4248878900776173,Human
57,57,1100,0.6263437194878172,Human
58,58,11060,0.4604234653899324,Human
59,59,11079,-1.351708113154021,Human
60,60,11118,-2.1379073977350997,Human
61,61,11134,-0.34595503161626073,Human
62,62,1123,3.096798356297474,Human
63,63,1160,-1.2355814363501845,Human
64,64,1161,0.6778632561380571,Human
65,65,1167,-0.5177002520258909,Human
66,66,1171,2.5732365858750477,Human
67,67,1180,-1.4718296111282803,Human
68,68,119,-0.7190576794473297,Human
69,69,121,1.3267640159893987,Human
70,70,1211,-0.5002175542751741,Human
71,71,1236,-0.29152259507236233,Human
72,72,1314,-1.6731198919044756,Human
73,73,1319,0.3301269296866951,Human
74,74,1336,-1.8765188227925311,Human
75,75,135,-0.3054389482669637,Human
76,76,1395,-2.1559270915514888,Human
77,77,1430,0.5900235371306415,Human
78,78,1436,-0.7357123104044127,Human
79,79,144,3.1324821598705883,Human
80,80,1492,2.60562594852897,Human
81,81,15,-0.29537039379640984,Human
82,82,1502,0.39185811502721024,Human
83,83,1543,-0.8688167179958468,Human
84,84,159,-0.8942506120973754,Human
85,85,1610,1.276198798171374,Human
86,86,1637,-1.0128249989292715,Human
87,87,1639,-2.0491353918368826,Human
88,88,1676,-1.915924147237562,Human
89,89,168,1.8788420287619993,Human
90,90,1707,-1.490125527528776,Human
91,91,1761,-2.2100545841995536,Human
92,92,1814,-2.156907351547729,Human
93,93,183,0.845983802786564,Human
94,94,1852,1.6664125370073763,Human
95,95,1876,-2.184728674322975,Human
96,96,1880,1.5027904279395587,Human
97,97,1921,-1.6707971263810517,Human
98,98,1922,-2.225880060417455,Human
99,99,1930,-1.3396002964508575,Human
100,100,1943,1.918334463654028,Human
101,101,1952,-0.9145641574644757,Human
102,102,1956,2.6285186349714245,Human
103,103,1957,-1.0356247761890103,Human
104,104,1959,2.1559906084945597,Human
105,105,1964,-1.304589366383567,Human
106,106,1977,-0.4248619004287467,Human
107,107,1997,-1.4376538734817688,Human
108,108,1998,2.0449490103152455,Human
109,109,1999,-1.2872610595833198,Human
110,110,2040,0.2821407198465331,Human
111,111,205,2.802735153162362,Human
112,112,2051,-1.1064310951494145,Human
113,113,2055,-0.5450899343111986,Human
114,114,2065,2.186562422462515,Human
115,115,2086,-1.247903195192552,Human
116,116,2089,-1.8929640260350007,Human
117,117,2098,-0.8198525718617771,Human
118,118,2178,-0.07574943587648697,Human
119,119,2194,0.09764179303328646,Human
120,120,2204,0.4555952379353023,Human
121,121,2225,-1.4575266350129221,Human
122,122,2234,0.05743239749137552,Human
123,123,2276,-2.1373467498552583,Human
124,124,2277,-2.1369080285859594,Human
125,125,2298,2.160235666935664,Human
126,126,23,-1.3343388918853138,Human
127,127,2302,-1.9216274125709987,Human
128,128,2307,1.3073562851353435,Human
129,129,2311,-0.33319890806486274,Human
130,130,2346,1.8464959062430821,Human
131,131,2358,-0.6691560619332008,Human
132,132,2366,-2.0616158196592282,Human
133,133,238,-2.109090657814373,Human
134,134,2390,1.0341131726570192,Human
135,135,2406,1.695635303998371,Human
136,136,2414,-2.0013158904572617,Human
137,137,2439,2.5537593010080704,Human
138,138,2478,1.2999708033685822,Human
139,139,2490,0.1955433232829642,Human
140,140,25,-0.15242752455940223,Human
141,141,2514,-0.5333020289642434,Human
142,142,2532,3.198305703981588,Human
143,143,254,1.4789587267035904,Human
144,144,2550,-1.4400200363329527,Human
145,145,2563,0.9488124961021038,Human
146,146,2570,-1.375937748960584,Human
147,147,2575,0.8095062850396164,Human
148,148,2624,1.8550559531150548,Human
149,149,2635,-1.434348823728857,Human
150,150,2645,-1.2342092669030578,Human
151,151,2648,2.8546948601270623,Human
152,152,2654,0.6288723201278321,Human
153,153,2661,0.11589084625098889,Human
154,154,2671,-1.9171511745581418,Human
155,155,2689,-1.3427390518963622,Human
156,156,2700,1.624091954301189,Human
157,157,2711,3.2033157490508133,Human
158,158,2765,1.6725503570131555,Human
159,159,2775,0.6961107622961917,Human
160,160,2780,2.0868989140762295,Human
161,161,2803,-1.1786393190665334,Human
162,162,2808,-2.1209716285389852,Human
163,163,283,-1.8516128071835536,Human
164,164,2852,1.657108563988255,Human
165,165,2865,1.3529499500855666,Human
166,166,2878,1.0204037579590042,Human
167,167,2890,-1.151781523152794,Human
168,168,2895,2.1980450760418453,Human
169,169,290,1.667746915102091,Human
170,170,2911,1.500241400440091,Human
171,171,2920,-1.1054199683322183,Human
172,172,2927,-0.2104253132654974,Human
173,173,2975,-1.9827131340351094,Human
174,174,2998,-0.7162530571979959,Human
175,175,3009,-1.8633435360127841,Human
176,176,3012,-0.7625951094093589,Human
177,177,3015,-2.2535352575881777,Human
178,178,302,0.7094535265697817,Human
179,179,3027,1.0517934866184804,Human
180,180,3033,-2.021110478135813,Human
181,181,3056,-0.4882026152159219,Human
182,182,3075,-1.1149812476695289,Human
183,183,31,2.5969170050167474,Human
184,184,3112,-2.234095886251699,Human
185,185,3113,-1.4390229305478073,Human
186,186,3122,-2.2336116862241746,Human
187,187,3133,0.5560068894724834,Human
188,188,315,0.15793285364929566,Human
189,189,3153,-0.8647515747832349,Human
190,190,3196,-1.380763744017588,Human
191,191,32,-1.4459552340607178,Human
192,192,3221,0.4389502749030909,Human
193,193,3230,-1.647395069204696,Human
194,194,3233,-0.48456165331498047,Human
195,195,3249,-1.6563831412904424,Human
196,196,3264,0.8672395984226051,Human
197,197,3317,-0.24199148812234528,Human
198,198,3331,0.12237652298035484,Human
199,199,3348,2.1122692937896597,Human
200,200,3357,-1.8812513409545908,Human
201,201,3361,-2.1131802718652946,Human
202,202,3362,0.3455308058204156,Human
203,203,3393,0.9055782530554686,Human
204,204,3401,-0.6572947251956133,Human
