annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
gemini_modu,43341,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,27447,4,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0
gemini_modu,31223,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_modu,43580,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
gemini_modu,48916,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,1793,0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,19409,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
gemini_modu,22123,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
gemini_modu,47074,4,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2
gemini_modu,4519,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2
gemini_modu,45734,3,3.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,2
gemini_modu,17591,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0
gemini_modu,42348,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,18591,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,13108,4,4.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0
gemini_modu,28142,4,4.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0
gemini_modu,48308,0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0
gemini_modu,30112,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
gemini_modu,27958,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,40444,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,28360,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0
gemini_modu,46966,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,35364,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,37954,4,3.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,0
gemini_modu,5761,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,19725,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,364,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gemini_modu,12086,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
gemini_modu,6365,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
gemini_modu,17868,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,48954,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,39293,4,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0
gemini_modu,49699,3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,30394,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
gemini_modu,18941,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,49707,3,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2
gemini_modu,36618,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_modu,38486,4,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,38926,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,7473,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,25763,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0
gemini_modu,40133,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,17461,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,20571,4,4.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,2
gemini_modu,45219,4,4.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,0
gemini_modu,31146,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gemini_modu,6842,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,20274,3,4.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0
gemini_modu,14389,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
gemini_modu,9213,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,44044,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
gemini_modu,2371,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gemini_modu,6454,4,4.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,2
gemini_modu,47554,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
gemini_modu,11911,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
gemini_modu,21073,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gemini_modu,13743,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
